"X" "longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass" "color" "L" "T" "K" "F" "R" "N"
"98" "id_7_2018" 8.5523928 49.0773383 25 50 85 "5" 2018 "5" NA NA "WGS84" NA "258" "DE" "13" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 5 90 "0" NA "5" NA NA "N/A" NA 0.872664625997165 0.642787609686539 1 1 4.875 5.4 3.28571428571429 5.33333333333333 5.4 5.6
"99" "id_8_2018" 8.5493465 49.0735968 35 180 70 "20" 2018 "50" NA NA "WGS84" NA "255" "DE" "22" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 30 25 "0" NA "50" NA NA "N/A" NA 3.14159265358979 -1 2 3 5.14285714285714 5.61111111111111 3.15 4.63157894736842 6.6 4.8125
"100" "id_9_2018" 8.5787485 49.10829 8 15 80 "1" 2018 "40" NA NA "WGS84" NA "183" "DE" "20" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 1 60 "2" NA "40" NA NA "1" NA 0.261799387799149 0.965925826289068 2 2 4.33333333333333 5.29411764705882 3.21052631578947 5.29411764705882 6.15384615384615 5.73333333333333
"101" "id_10_2018" 8.5741878 49.1042317 26 210 70 "20" 2018 "20" NA NA "WGS84" NA "191" "DE" "10" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 7 60 "1" NA "20" NA NA "20" NA 3.66519142918809 -0.866025403784439 2 3 5.33333333333333 5.54545454545455 3.28571428571429 4.41666666666667 5.8 4.81818181818182
"102" "id_11_2018" 8.5738616 49.1044073 21 210 80 "20" 2018 "10" NA NA "WGS84" NA "191" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 30 50 "2" NA "10" NA NA "5" NA 3.66519142918809 -0.866025403784439 2 3 5.16666666666667 5.55555555555556 3.09090909090909 4.36363636363636 7 4.5
"103" "id_12_2018" 8.5518136 49.0784163 18 20 85 "5" 2018 "15" NA NA "WGS84" NA "180" "DE" "14" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 5 95 "0" NA "15" NA NA "0" NA 0.349065850398866 0.939692620785908 2 2 4.5 5.30769230769231 3.30769230769231 5.36363636363636 6.8 6.44444444444444
"104" "id_13_2018" 8.5536022 49.0774779 24 45 100 "7" 2018 "15" NA NA "WGS84" NA "200" "DE" "Zusatzplot" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 0 95 "0" NA "15" NA NA "1" NA 0.785398163397448 0.707106781186548 3 2 4.76923076923077 5.27272727272727 3.36363636363636 5.16666666666667 6.5 6.3
"105" "id_14_2018" 8.5745283 49.1055474 9 350 75 "15" 2018 "10" NA NA "WGS84" NA "N/A" "DE" "11" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 2 80 "1" NA "10" NA NA "N/A" NA 6.10865238198015 0.984807753012208 2 1 4.16666666666667 5.22222222222222 3 5.44444444444444 7.4 6.5
"106" "id_15_2018" 8.5758371 49.1032186 20 210 70 "20" 2018 "3" NA NA "WGS84" NA "N/A" "DE" "Zusatzplot" "Quadrat" 100 "23.07.2018" "Broad-leaf deciduous forests" NA NA 20 60 "1" NA "3" NA NA "N/A" NA 3.66519142918809 -0.866025403784439 1 3 4.125 5 3 5.125 5.8 4.25
"107" "id_16_2018" 8.5484602 49.0754839 23 280 2 "20" 2018 "35" NA NA "WGS84" NA "N/A" "DE" "15" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 5 60 "5" NA "35" NA NA "N/A" NA 4.88692190558412 0.17364817766693 2 3 5.05555555555556 5.57142857142857 3.23529411764706 4.94117647058824 7.08333333333333 5.64285714285714
"108" "id_17_2018" 8.5752799 49.1034798 22.5 230 85 "35" 2018 "20" NA NA "WGS84" NA "156" "DE" "19" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 30 55 "1" NA "20" NA NA "13" NA 4.01425727958696 -0.642787609686539 1 1 5.11111111111111 5.375 2.75 4.875 7.2 5
"109" "id_18_2018" 8.5764759 49.1031154 13 240 75 "30" 2018 "5" NA NA "WGS84" NA "160" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 1 95 "1" NA "5" NA NA "5" NA 4.18879020478639 -0.5 1 1 4.42857142857143 5.66666666666667 3.28571428571429 5.16666666666667 6.25 6
"110" "id_19_2018" 8.546729 49.0734934 28 230 80 "18" 2018 "42" NA NA "WGS84" NA "160" "DE" "16" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 5 75 "1" NA "42" NA NA "1,75" NA 4.01425727958696 -0.642787609686539 2 1 4.76470588235294 5.38461538461539 3.125 4.8125 7 5.13333333333333
"111" "id_20_2018" 8.5775941 49.1086974 11 350 70 "2" 2018 "80" NA NA "WGS84" NA "176" "DE" "2" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 12 90 "10" NA "80" NA NA "2.5" NA 6.10865238198015 0.984807753012208 2 2 5 5.41176470588235 3.5 4.92307692307692 6.5 5.63636363636364
"112" "id_21_2018" 8.5791469 49.1084535 25 30 90 "5" 2018 "30" NA NA "WGS84" NA "161" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 5 95 "3" NA "30" NA NA "2" NA 0.523598775598299 0.866025403784439 3 2 4.875 5.41666666666667 3.4 5.36363636363636 5.875 6
"113" "id_22_2018" 8.5798469 49.108361 12 30 95 "1" 2018 "1" NA NA "WGS84" NA "165" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 1 90 "2" NA "1" NA NA "1" NA 0.523598775598299 0.866025403784439 1 1 4.57142857142857 5.33333333333333 3.14285714285714 5 7.5 5
"114" "id_23_2018" 8.5776065 49.109114 2 15 75 "N/A" 2018 "N/A" NA NA "WGS84" NA "143" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 2 2 "2" NA "N/A" NA NA "N/A" NA 0.261799387799149 0.965925826289068 NA NA NA NA NA NA NA NA
"115" "id_24_2018" 8.5483506 49.0763319 25 320 80 "5" 2018 "60" NA NA "WGS84" NA "181" "DE" "18" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 2 82 "1" NA "60" NA NA "1" NA 5.58505360638185 0.766044443118978 2 1 4.85714285714286 5.5 3.23076923076923 5.2 7 5.88888888888889
"116" "id_25_2018" 8.5492818 49.0770244 25 310 95 "40" 2018 "83" NA NA "WGS84" NA "192" "DE" "Zusatzplot" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 5 40 "5" NA "83" NA NA "3" NA 5.41052068118242 0.642787609686539 1 3 5.07692307692308 5.6 3.33333333333333 5.09090909090909 7.28571428571429 5.55555555555556
